ticker,hot?,Note,Company name,Market segment,Market Cap (B),Fast grow?,HC change (%),tech/analyst,post gain $,2nd day gain %,EPS Q estimate,EPS Q actual,EPS beat %,Revenue Q estimate,revenue Q actual,Revenue Q Beat %,EPS Q last year,EPS YoY %,Revenue Q last year,Revenue YoY %,Revenue last Q YoY %
BAC,,,BAC,Finance,383.23,,,,,,0.96,0.98,2.25%,27.76B,28.37B,2.18%,0.82,19.51%,25.35B,11.90%,10.81%
WFC,,,WFC,Finance,280.16,,,,,,1.66,1.62,-2.60%,21.65B,21.29B,-1.65%,1.43,13.29%,20.38B,4.47%,5.20%
C,,,C,Finance,201.13,,,,,,1.65,1.19,-27.73%,20.95B,19.87B,-5.13%,1.34,-11.19%,19.58B,1.49%,12.82%
HOMB,,,HOMB,Finance,5.59,,,,,,0.60,0.60,0.24%,0.27B,0.28B,3.53%,0.50,20.00%,0.26B,9.19%,7.49%
UCB,,,UCB,Finance,4.06,,,,,,0.71,0.71,-0.60%,0.27B,0.28B,1.75%,0.63,12.70%,0.24B,16.25%,15.61%
FUL,,,FUL,Process Industries,3.50,,,,,,1.23,1.28,4.25%,0.90B,0.89B,-0.86%,0.92,39.13%,0.92B,-3.09%,-3.38%
CODI,,,CODI,Finance,0.41,,,,,,0.61,-0.98,-260.35%,0.64B,0.47B,-25.81%,0.32,-405.66%,0.58B,-18.89%,-17.84%
CVGW,,,CVGW,Process Industries,0.40,,,,,,0.37,0.25,-32.43%,0.15B,0.12B,-15.73%,0.05,400.00%,0.17B,-26.64%,5.21%
HOVR,,,HOVR,Electronic Technology,0.09,,,,,,-0.12,-0.15,-25.88%,,,,0.51,-129.44%,,,
RFIL,,,RFIL,Electronic Technology,0.08,,,,,,0.09,0.20,122.22%,0.02B,0.02B,17.08%,0.03,566.67%,0.02B,14.63%,-10.06%
LOOP,,,LOOP,Process Industries,0.06,,,,,,-0.06,-0.06,0.00%,0.00B,0.00B,-88.90%,0.12,-150.00%,,,
